household_id,date,consumption_liters,pressure_level
1,4/1/2025,456.07,2.12
1,4/2/2025,326.8,3.78
1,4/3/2025,238.82,3.89
1,4/4/2025,420.2,4.35
1,4/5/2025,141.4,4.41
1,4/6/2025,318.05,4.96
1,4/7/2025,202.64,4.39
1,4/8/2025,132.07,4.05
1,4/9/2025,304.43,2.66
1,4/10/2025,185.45,2.92
1,4/11/2025,207.83,2.35
1,4/12/2025,375.94,3.39
1,4/13/2025,313.48,4.94
1,4/14/2025,421.37,4.59
1,4/15/2025,407.51,3.33
1,4/16/2025,347.3,3.5
1,4/17/2025,374.77,2.4
1,4/18/2025,147.57,4.93
1,4/19/2025,386.22,4.62
1,4/20/2025,434.27,2.44
1,4/21/2025,420.82,4.81
1,4/22/2025,263.84,3.98
1,4/23/2025,450.45,2.86
1,4/24/2025,177.33,2.43
1,4/25/2025,113.41,3.38
1,4/26/2025,490,4.55
1,4/27/2025,261.03,2.64
1,4/28/2025,100.07,2.5
1,4/29/2025,365.46,4.96
1,4/30/2025,483.89,3.48
2,4/1/2025,169.89,3.21
2,4/2/2025,172.23,3.13
2,4/3/2025,286.16,3.02
2,4/4/2025,469.53,2.61
2,4/5/2025,201.5,2.4
2,4/6/2025,232.59,4.15
2,4/7/2025,193.04,4.53
2,4/8/2025,147.62,3.97
2,4/9/2025,106.75,4.44
2,4/10/2025,189.01,3.05
2,4/11/2025,308.68,3.39
2,4/12/2025,378.33,3.93
2,4/13/2025,492.89,2.98
2,4/14/2025,258.73,3.56
2,4/15/2025,194.95,4.97
2,4/16/2025,113.85,3.19
2,4/17/2025,316.73,3.15
2,4/18/2025,134.16,2.07
2,4/19/2025,171.59,4.45
2,4/20/2025,334.56,2.73
2,4/21/2025,456.44,2.63
2,4/22/2025,478.87,2.36
2,4/23/2025,450.08,3.28
2,4/24/2025,114.13,2.35
2,4/25/2025,454.47,4.16
2,4/26/2025,309.28,4.98
2,4/27/2025,375.16,2.97
2,4/28/2025,318.28,2.67
2,4/29/2025,326.79,4.96
2,4/30/2025,359.86,3.95
3,4/1/2025,150.62,4.7
3,4/2/2025,234.82,3.58
3,4/3/2025,351.85,3.68
3,4/4/2025,415.3,4.27
3,4/5/2025,191.14,2.38
3,4/6/2025,435.03,2.28
3,4/7/2025,141.94,3.18
3,4/8/2025,185.31,3.29
3,4/9/2025,311.95,3.14
3,4/10/2025,372.75,4.13
3,4/11/2025,294.79,2.18
3,4/12/2025,395.69,2.43
3,4/13/2025,322.77,3.45
3,4/14/2025,467.55,2.46
3,4/15/2025,146.7,2.9
3,4/16/2025,100.57,2.12
3,4/17/2025,382.86,3.03
3,4/18/2025,271.1,3.8
3,4/19/2025,127.6,4.24
3,4/20/2025,260.89,2.69
3,4/21/2025,162.48,2.7
3,4/22/2025,392.7,3.34
3,4/23/2025,157.37,4.43
3,4/24/2025,496.09,4.93
3,4/25/2025,475.36,2.44
3,4/26/2025,106.02,2.41
3,4/27/2025,402.95,3.44
3,4/28/2025,394.3,3.82
3,4/29/2025,254.63,4.32
3,4/30/2025,108.88,4.14
4,4/1/2025,197.74,4.49
4,4/2/2025,151.85,3.05
4,4/3/2025,317.63,2.71
4,4/4/2025,125.09,4.04
4,4/5/2025,217.04,4.86
4,4/6/2025,293.74,3.23
4,4/7/2025,159.85,4.5
4,4/8/2025,199.81,2.15
4,4/9/2025,420.24,4.28
4,4/10/2025,305.54,4.07
4,4/11/2025,392.96,4.96
4,4/12/2025,458.31,4.53
4,4/13/2025,250.37,4.64
4,4/14/2025,193.58,4.7
4,4/15/2025,378.35,3.56
4,4/16/2025,350.57,4.89
4,4/17/2025,391.14,2.06
4,4/18/2025,421.03,4.18
4,4/19/2025,115.35,4.55
4,4/20/2025,150.89,3.45
4,4/21/2025,238.88,4.7
4,4/22/2025,296.31,2.17
4,4/23/2025,189.43,2.03
4,4/24/2025,265.2,3.83
4,4/25/2025,437.39,2.37
4,4/26/2025,312.84,2.02
4,4/27/2025,438.8,2.59
4,4/28/2025,373.22,3.76
4,4/29/2025,167.86,3.9
4,4/30/2025,281.33,3.8
5,4/1/2025,450.3,3.24
5,4/2/2025,460.1,4.54
5,4/3/2025,362.36,4.52
5,4/4/2025,234.94,2.55
5,4/5/2025,367.54,4.4
5,4/6/2025,115.58,3.98
5,4/7/2025,374.92,2
5,4/8/2025,264.46,3.42
5,4/9/2025,260.79,3.74
5,4/10/2025,358.16,2.98
5,4/11/2025,438.01,4.53
5,4/12/2025,334.41,2.31
5,4/13/2025,452.75,2.92
5,4/14/2025,402.7,4.85
5,4/15/2025,258.11,2.91
5,4/16/2025,355.62,4.19
5,4/17/2025,392.95,4.5
5,4/18/2025,409.67,3.46
5,4/19/2025,184.95,4.5
5,4/20/2025,223.85,2.46
5,4/21/2025,259.53,3.08
5,4/22/2025,112.16,2.55
5,4/23/2025,333.46,4.05
5,4/24/2025,236.47,2.13
5,4/25/2025,412.03,4.4
5,4/26/2025,144.33,3.26
5,4/27/2025,395.55,4.13
5,4/28/2025,246.77,3.48
5,4/29/2025,132.74,3.2
5,4/30/2025,464.77,2.41
6,4/1/2025,257.78,3.59
6,4/2/2025,164.27,2.57
6,4/3/2025,128.03,2.21
6,4/4/2025,437.61,2.91
6,4/5/2025,472.91,2.46
6,4/6/2025,104.86,4.73
6,4/7/2025,374.1,3.03
6,4/8/2025,485.97,2.27
6,4/9/2025,270.18,4.32
6,4/10/2025,173.03,3.68
6,4/11/2025,286.54,4.45
6,4/12/2025,186.85,2.96
6,4/13/2025,369.95,3.24
6,4/14/2025,331.09,2.82
6,4/15/2025,414.6,4.7
6,4/16/2025,496.07,3.9
6,4/17/2025,174.64,2.45
6,4/18/2025,226.87,4.62
6,4/19/2025,421.71,3.77
6,4/20/2025,105.47,2.16
6,4/21/2025,179.24,3.6
6,4/22/2025,360.29,2.83
6,4/23/2025,208.99,2.09
6,4/24/2025,236.92,4.73
6,4/25/2025,361.5,2.37
6,4/26/2025,260.93,2.84
6,4/27/2025,236.06,2.78
6,4/28/2025,361.64,4.33
6,4/29/2025,124.99,4.13
6,4/30/2025,343.75,2.91
7,4/1/2025,275.98,4.64
7,4/2/2025,255.06,2.58
7,4/3/2025,253.28,4.84
7,4/4/2025,495.56,2.08
7,4/5/2025,429.53,2.52
7,4/6/2025,172.97,3.8
7,4/7/2025,110.91,3.32
7,4/8/2025,464.75,3.38
7,4/9/2025,424.01,4.25
7,4/10/2025,349.72,3.8
7,4/11/2025,240.36,2.14
7,4/12/2025,120.38,3.89
7,4/13/2025,298.22,4.71
7,4/14/2025,135.91,3.56
7,4/15/2025,429.52,4.33
7,4/16/2025,397.45,3.09
7,4/17/2025,148.47,3.06
7,4/18/2025,299.94,2.39
7,4/19/2025,219.63,3.2
7,4/20/2025,291.98,4.61
7,4/21/2025,432.63,4.88
7,4/22/2025,132.44,4.67
7,4/23/2025,212.39,3.13
7,4/24/2025,304.53,3.25
7,4/25/2025,175.19,2.94
7,4/26/2025,231.24,2.27
7,4/27/2025,498.43,3.3
7,4/28/2025,157.51,2.23
7,4/29/2025,488.29,3.14
7,4/30/2025,305.16,4.05
8,4/1/2025,304.96,3.48
8,4/2/2025,437.55,3.85
8,4/3/2025,122.62,3.05
8,4/4/2025,174.44,2.62
8,4/5/2025,365.9,2.86
8,4/6/2025,230.82,2.25
8,4/7/2025,497.63,2.32
8,4/8/2025,449.82,2.5
8,4/9/2025,129.09,2.27
8,4/10/2025,308.16,2.72
8,4/11/2025,188.21,3.18
8,4/12/2025,446.95,4.06
8,4/13/2025,477.83,3.32
8,4/14/2025,241.72,2.37
8,4/15/2025,465.67,3.54
8,4/16/2025,277.87,4.23
8,4/17/2025,400.85,3.45
8,4/18/2025,151.5,4.74
8,4/19/2025,411.88,3.18
8,4/20/2025,487.44,4.66
8,4/21/2025,144.13,2.37
8,4/22/2025,434.2,2.99
8,4/23/2025,423.17,2.72
8,4/24/2025,426.63,2.08
8,4/25/2025,497.79,4.29
8,4/26/2025,201.41,2.65
8,4/27/2025,261.27,4.24
8,4/28/2025,475.05,3.3
8,4/29/2025,411.09,3.18
8,4/30/2025,350.21,3.4
9,4/1/2025,375.3,4.66
9,4/2/2025,106.98,2.96
9,4/3/2025,336.45,3.81
9,4/4/2025,176.23,3.39
9,4/5/2025,411.08,2.09
9,4/6/2025,123.14,4.14
9,4/7/2025,255.94,3.82
9,4/8/2025,213.14,3.97
9,4/9/2025,241.41,2.14
9,4/10/2025,468.25,2.64
9,4/11/2025,173.38,4.31
9,4/12/2025,175.56,2.53
9,4/13/2025,379.7,4.22
9,4/14/2025,261.05,4.67
9,4/15/2025,450,3.17
9,4/16/2025,128.72,2.91
9,4/17/2025,332.67,2.15
9,4/18/2025,117.63,4.19
9,4/19/2025,113.72,2.7
9,4/20/2025,256.17,2.45
9,4/21/2025,254.69,4.82
9,4/22/2025,190.02,3.99
9,4/23/2025,161.79,4.23
9,4/24/2025,291.54,4.09
9,4/25/2025,171.38,4.77
9,4/26/2025,344.45,3.29
9,4/27/2025,140.01,2.07
9,4/28/2025,108.42,3.93
9,4/29/2025,439.44,4.65
9,4/30/2025,398.21,2.02
10,4/1/2025,242.41,2.74
10,4/2/2025,404.72,4.35
10,4/3/2025,475.47,4.36
10,4/4/2025,275.39,3.48
10,4/5/2025,106.31,2.17
10,4/6/2025,180.14,2.26
10,4/7/2025,491.1,3.9
10,4/8/2025,496.79,3.18
10,4/9/2025,163.64,2.14
10,4/10/2025,294.43,4.14
10,4/11/2025,421.52,3.86
10,4/12/2025,379.19,2.42
10,4/13/2025,341.77,2.44
10,4/14/2025,204.32,2.14
10,4/15/2025,314.82,3.59
10,4/16/2025,485.04,3.36
10,4/17/2025,264.67,2.5
10,4/18/2025,254.22,4.93
10,4/19/2025,495.13,4.13
10,4/20/2025,444.88,4.56
10,4/21/2025,293.35,3.15
10,4/22/2025,386.05,2.78
10,4/23/2025,322.08,3.54
10,4/24/2025,199.08,3.26
10,4/25/2025,222.52,4.75
10,4/26/2025,251.14,3.93
10,4/27/2025,493.3,4.07
10,4/28/2025,291.57,2.71
10,4/29/2025,383.53,4.83
10,4/30/2025,400.67,2.26
